province,count,vung,mien,label
Tỉnh Long An,549.0,TNB,N,0
Tỉnh Sóc Trăng,300.0,TNB,N,0
Tỉnh Bình Định,312.0,DHNTB,T,0
Tỉnh Nghệ An,414.0,BTB,T,0
,,,,0
Tỉnh Quảng Ninh,177.0,DBB,B,0
Tỉnh Vĩnh Long,309.0,TNB,N,0
Tỉnh Bà Rịa - Vũng Tàu,306.0,DNB,N,0
Tỉnh Quảng Ngãi,184.0,DHNTB,T,0
Tỉnh Bình Định,312.0,DHNTB,T,0
Tỉnh Quảng Ninh,177.0,DBB,B,0
,,,,0
Tỉnh Đồng Tháp,358.0,TNB,N,0
,,,,0
,,,,0
Tỉnh Bình Dương,807.0,DNB,N,0
,,,,0
,,,,0
Tỉnh Đồng Tháp,358.0,TNB,N,0
Tỉnh Đồng Nai,1033.0,DNB,N,0
Tỉnh Bà Rịa - Vũng Tàu,306.0,DNB,N,0
Tỉnh Long An,549.0,TNB,N,0
,,,,0
Tỉnh Bình Phước,177.0,DNB,N,0
Tỉnh Phú Thọ,158.0,DBB,B,0
Tỉnh Quảng Ninh,177.0,DBB,B,0
,,,,0
Tỉnh Vĩnh Phúc,105.0,DBSH,B,0
,,,,0
Tỉnh Điện Biên,45.0,TBB,B,0
Tỉnh Bình Dương,807.0,DNB,N,0
Tỉnh Ninh Bình,128.0,DBSH,B,0
Tỉnh Quảng Ninh,177.0,DBB,B,0
Tỉnh An Giang,608.0,TNB,N,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
Tỉnh Lai Châu,19.0,TBB,B,0
Thành phố Hồ Chí Minh,2389.0,DNB,N,0
Thành phố Hồ Chí Minh,2389.0,DNB,N,0
,,,,1
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
Tỉnh Long An,549.0,TNB,N,0
Tỉnh Bắc Giang,212.0,DBB,B,0
,,,,0
Thành phố Hồ Chí Minh,2389.0,DNB,N,0
,,,,0
Tỉnh Phú Thọ,158.0,DBB,B,0
Thành phố Hồ Chí Minh,2389.0,DNB,N,0
,,,,0
Tỉnh Cà Mau,294.0,TNB,N,0
,,,,0
,,,,0
,,,,0
Tỉnh Thừa Thiên Huế,199.0,BTB,T,0
Tỉnh Đồng Nai,1033.0,DNB,N,0
Tỉnh Tuyên Quang,83.0,DBB,B,0
,,,,0
Tỉnh Tiền Giang,641.0,TNB,N,0
,,,,0
,,,,0
Tỉnh An Giang,608.0,TNB,N,0
,,,,0
,,,,1
,,,,0
Tỉnh Tiền Giang,641.0,TNB,N,0
Tỉnh Thanh Hóa,538.0,BTB,T,0
,,,,0
Tỉnh Bạc Liêu,238.0,TNB,N,0
,,,,0
Thành phố Hồ Chí Minh,2389.0,DNB,N,0
,,,,0
,,,,0
,,,,0
,,,,0
Tỉnh Bến Tre,333.0,TNB,N,0
,,,,0
Tỉnh Bà Rịa - Vũng Tàu,306.0,DNB,N,0
Tỉnh Tây Ninh,330.0,DNB,N,0
,,,,0
Thành phố Hồ Chí Minh,2389.0,DNB,N,0
Tỉnh Tiền Giang,641.0,TNB,N,0
Tỉnh Tiền Giang,641.0,TNB,N,0
,,,,0
Tỉnh Vĩnh Phúc,105.0,DBSH,B,0
Thành phố Hồ Chí Minh,2389.0,DNB,N,0
Thành phố Hà Nội,667.0,DBSH,B,0
Thành phố Hồ Chí Minh,2389.0,DNB,N,0
,,,,0
Tỉnh Thái Bình,141.0,DBSH,B,0
Thành phố Hà Nội,667.0,DBSH,B,0
Tỉnh Đồng Nai,1033.0,DNB,N,0
,,,,0
,,,,0
Tỉnh Quảng Ngãi,184.0,DHNTB,T,0
Tỉnh Kon Tum,34.0,TN,T,0
Thành phố Hồ Chí Minh,2389.0,DNB,N,0
Tỉnh Đồng Tháp,358.0,TNB,N,0
Tỉnh Đắk Lắk,289.0,TN,T,0
,,,,0
Tỉnh Khánh Hòa,308.0,DHNTB,T,0
,,,,0
Tỉnh Quảng Nam,375.0,DHNTB,T,0
,,,,0
,,,,0
,,,,0
Tỉnh Bình Thuận,287.0,DHNTB,T,0
,,,,0
,,,,0
,,,,0
Tỉnh Trà Vinh,283.0,TNB,N,0
Tỉnh Thanh Hóa,538.0,BTB,T,0
Thành phố Hồ Chí Minh,2389.0,DNB,N,0
Tỉnh Hà Nam,107.0,DBSH,B,0
Tỉnh Trà Vinh,283.0,TNB,N,0
,,,,0
Thành phố Đà Nẵng,228.0,DHNTB,T,0
,,,,0
Tỉnh Thanh Hóa,538.0,BTB,T,0
,,,,1
,,,,0
Tỉnh An Giang,608.0,TNB,N,0
Tỉnh Đồng Nai,1033.0,DNB,N,0
Tỉnh Bắc Giang,212.0,DBB,B,0
Tỉnh Hoà Bình,79.0,TBB,B,0
,,,,0
Tỉnh An Giang,608.0,TNB,N,1
Tỉnh Kiên Giang,508.0,TNB,N,0
Tỉnh Khánh Hòa,308.0,DHNTB,T,0
Tỉnh Lào Cai,62.0,TBB,B,0
,,,,0
Thành phố Đà Nẵng,228.0,DHNTB,T,0
,,,,0
Tỉnh Thừa Thiên Huế,199.0,BTB,T,0
,,,,0
,,,,0
Tỉnh Gia Lai,109.0,TN,T,0
Tỉnh Long An,549.0,TNB,N,0
Tỉnh Thái Bình,141.0,DBSH,B,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,1
Thành phố Hồ Chí Minh,2389.0,DNB,N,0
,,,,0
,,,,0
Thành phố Hồ Chí Minh,2389.0,DNB,N,0
Tỉnh Bình Định,312.0,DHNTB,T,0
,,,,0
Tỉnh Ninh Thuận,111.0,DHNTB,T,0
Tỉnh Bình Phước,177.0,DNB,N,1
,,,,0
Thành phố Hồ Chí Minh,2389.0,DNB,N,0
Tỉnh Đồng Tháp,358.0,TNB,N,0
Tỉnh Long An,549.0,TNB,N,0
Tỉnh Vĩnh Long,309.0,TNB,N,0
Tỉnh Đắk Lắk,289.0,TN,T,0
,,,,0
Tỉnh Bà Rịa - Vũng Tàu,306.0,DNB,N,0
Thành phố Hồ Chí Minh,2389.0,DNB,N,0
Tỉnh Thanh Hóa,538.0,BTB,T,0
,,,,0
,,,,0
Thành phố Hồ Chí Minh,2389.0,DNB,N,0
Thành phố Hồ Chí Minh,2389.0,DNB,N,0
,,,,0
Tỉnh Trà Vinh,283.0,TNB,N,0
,,,,0
,,,,0
Tỉnh Ninh Bình,128.0,DBSH,B,0
Tỉnh Trà Vinh,283.0,TNB,N,0
Tỉnh Nghệ An,414.0,BTB,T,0
Tỉnh Hà Tĩnh,162.0,BTB,T,0
Tỉnh Tiền Giang,641.0,TNB,N,0
,,,,0
,,,,0
Tỉnh Bình Dương,807.0,DNB,N,0
Tỉnh Quảng Nam,375.0,DHNTB,T,0
Tỉnh Trà Vinh,283.0,TNB,N,0
Tỉnh Hậu Giang,160.0,TNB,N,0
Tỉnh Tây Ninh,330.0,DNB,N,0
,,,,0
Tỉnh Tây Ninh,330.0,DNB,N,0
Thành phố Hồ Chí Minh,2389.0,DNB,N,0
Thành phố Hồ Chí Minh,2389.0,DNB,N,0
,,,,0
,,,,0
,,,,0
,,,,0
Tỉnh Tiền Giang,641.0,TNB,N,0
Tỉnh Quảng Nam,375.0,DHNTB,T,0
Tỉnh Vĩnh Long,309.0,TNB,N,0
,,,,0
,,,,0
Thành phố Hồ Chí Minh,2389.0,DNB,N,0
Tỉnh Đồng Tháp,358.0,TNB,N,0
,,,,0
Tỉnh Cà Mau,294.0,TNB,N,0
,,,,0
,,,,0
,,,,0
Tỉnh Hà Nam,107.0,DBSH,B,0
Tỉnh Thái Bình,141.0,DBSH,B,0
,,,,0
Tỉnh Bạc Liêu,238.0,TNB,N,0
,,,,0
,,,,0
Tỉnh Bà Rịa - Vũng Tàu,306.0,DNB,N,0
Thành phố Hà Nội,667.0,DBSH,B,0
Tỉnh Vĩnh Long,309.0,TNB,N,0
Tỉnh Thanh Hóa,538.0,BTB,T,0
Thành phố Hải Phòng,252.0,DBSH,B,0
,,,,0
,,,,0
Tỉnh Bến Tre,333.0,TNB,N,0
,,,,0
Tỉnh Bắc Kạn,38.0,DBB,B,0
Thành phố Hồ Chí Minh,2389.0,DNB,N,0
Tỉnh Gia Lai,109.0,TN,T,0
Tỉnh Hưng Yên,115.0,DBSH,B,0
Tỉnh Bến Tre,333.0,TNB,N,0
Tỉnh Phú Yên,160.0,DHNTB,T,0
Tỉnh Khánh Hòa,308.0,DHNTB,T,0
Tỉnh Bình Định,312.0,DHNTB,T,0
Tỉnh Kiên Giang,508.0,TNB,N,0
,,,,0
Tỉnh Tiền Giang,641.0,TNB,N,0
Tỉnh Nghệ An,414.0,BTB,T,0
,,,,0
Tỉnh Lâm Đồng,126.0,TN,T,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
Tỉnh Hà Tĩnh,162.0,BTB,T,0
Tỉnh Đồng Nai,1033.0,DNB,N,0
Thành phố Hà Nội,667.0,DBSH,B,0
Thành phố Đà Nẵng,228.0,DHNTB,T,0
Thành phố Hà Nội,667.0,DBSH,B,0
,,,,0
,,,,0
Tỉnh Tây Ninh,330.0,DNB,N,0
,,,,0
Tỉnh Thanh Hóa,538.0,BTB,T,0
Thành phố Hồ Chí Minh,2389.0,DNB,N,0
Tỉnh Trà Vinh,283.0,TNB,N,0
,,,,0
Tỉnh Trà Vinh,283.0,TNB,N,0
,,,,0
Tỉnh Vĩnh Long,309.0,TNB,N,0
,,,,0
Tỉnh Hải Dương,121.0,DBSH,B,0
,,,,0
,,,,0
,,,,0
Tỉnh Vĩnh phúc,17.0,DBSH,B,0
,,,,0
Tỉnh Cà Mau,294.0,TNB,N,0
,,,,0
,,,,0
Thành phố Hải Phòng,252.0,DBSH,B,0
Tỉnh Bến Tre,333.0,TNB,N,0
Tỉnh Khánh Hòa,308.0,DHNTB,T,0
,,,,1
,,,,0
,,,,0
,,,,0
,,,,0
Tỉnh Quảng Nam,375.0,DHNTB,T,0
Thành phố Hồ Chí Minh,2389.0,DNB,N,0
,,,,0
,,,,0
,,,,0
,,,,0
Tỉnh Nghệ An,414.0,BTB,T,0
,,,,0
Tỉnh Bà Rịa - Vũng Tàu,306.0,DNB,N,0
,,,,0
Tỉnh Long An,549.0,TNB,N,0
,,,,0
Tỉnh Kiên Giang,508.0,TNB,N,0
Tỉnh Bạc Liêu,238.0,TNB,N,0
Tỉnh Đắk Lắk,289.0,TN,T,0
Thành phố Hà Nội,667.0,DBSH,B,0
,,,,0
Tỉnh Bình Định,312.0,DHNTB,T,0
,,,,0
,,,,0
Tỉnh Bình Thuận,287.0,DHNTB,T,0
Thành phố Hồ Chí Minh,2389.0,DNB,N,0
Thành phố Hồ Chí Minh,2389.0,DNB,N,0
,,,,0
Tỉnh Nam Định,148.0,DBSH,B,0
Tỉnh Phú Thọ,158.0,DBB,B,0
,,,,0
,,,,0
,,,,0
Tỉnh Khánh Hòa,308.0,DHNTB,T,0
,,,,1
Tỉnh Đồng Nai,1033.0,DNB,N,0
,,,,0
Tỉnh Quảng Bình,102.0,BTB,T,0
Tỉnh Hưng Yên,115.0,DBSH,B,0
,,,,0
Thành phố Hải Phòng,252.0,DBSH,B,0
Tỉnh Bình Dương,807.0,DNB,N,0
Thành phố Hồ Chí Minh,2389.0,DNB,N,0
Thành phố Hồ Chí Minh,2389.0,DNB,N,0
,,,,0
Tỉnh Hà Tĩnh,162.0,BTB,T,0
,,,,0
,,,,0
,,,,0
Tỉnh Tiền Giang,641.0,TNB,N,0
Tỉnh Vĩnh Long,309.0,TNB,N,0
,,,,0
,,,,0
Tỉnh Thanh Hóa,538.0,BTB,T,0
,,,,0
Tỉnh Hưng Yên,115.0,DBSH,B,0
,,,,0
Thành phố Cần Thơ,192.0,TNB,N,0
Tỉnh Bình Định,312.0,DHNTB,T,0
Tỉnh Tây Ninh,330.0,DNB,N,0
,,,,0
,,,,0
Tỉnh Tiền Giang,641.0,TNB,N,0
Tỉnh Sơn La,77.0,TBB,B,0
Tỉnh Bắc Giang,212.0,DBB,B,0
,,,,0
Thành phố Hải Phòng,252.0,DBSH,B,0
Tỉnh An Giang,608.0,TNB,N,0
Tỉnh Bà Rịa - Vũng Tàu,306.0,DNB,N,0
Tỉnh Bình Định,312.0,DHNTB,T,0
,,,,0
,,,,0
Tỉnh Thái Bình,141.0,DBSH,B,0
Thành phố Hồ Chí Minh,2389.0,DNB,N,0
Tỉnh Bình Thuận,287.0,DHNTB,T,0
Thành phố Hải Phòng,252.0,DBSH,B,0
Tỉnh Bắc Ninh,130.0,DBSH,B,0
Tỉnh Trà Vinh,283.0,TNB,N,0
Thành phố Hà Nội,667.0,DBSH,B,0
Tỉnh Nghệ An,414.0,BTB,T,0
Tỉnh Cà Mau,294.0,TNB,N,0
,,,,0
,,,,0
,,,,0
,,,,0
Tỉnh Đắk Nông,58.0,TN,T,0
,,,,0
Tỉnh Sóc Trăng,300.0,TNB,N,0
Tỉnh Tiền Giang,641.0,TNB,N,0
Thành phố Hồ Chí Minh,2389.0,DNB,N,0
Tỉnh Quảng Nam,375.0,DHNTB,T,0
,,,,0
,,,,0
Tỉnh Bình Thuận,287.0,DHNTB,T,0
Thành phố Hồ Chí Minh,2389.0,DNB,N,0
Thành phố Hồ Chí Minh,2389.0,DNB,N,0
,,,,1
Tỉnh Tây Ninh,330.0,DNB,N,0
,,,,0
,,,,0
,,,,0
Thành phố Hồ Chí Minh,2389.0,DNB,N,0
,,,,0
Tỉnh Bắc Kạn,38.0,DBB,B,0
Thành phố Hồ Chí Minh,2389.0,DNB,N,0
,,,,0
,,,,0
Thành phố Hồ Chí Minh,2389.0,DNB,N,0
,,,,0
Thành phố Hà Nội,667.0,DBSH,B,0
Tỉnh Bắc Kạn,38.0,DBB,B,0
Thành phố Hải Phòng,252.0,DBSH,B,0
Tỉnh Khánh Hòa,308.0,DHNTB,T,0
,,,,0
Tỉnh Bình Định,312.0,DHNTB,T,0
,,,,0
,,,,0
Tỉnh Thanh Hóa,538.0,BTB,T,0
Tỉnh Bình Phước,177.0,DNB,N,0
Tỉnh Phú Thọ,158.0,DBB,B,0
,,,,0
,,,,0
Tỉnh Thái Bình,141.0,DBSH,B,0
Tỉnh Khánh Hòa,308.0,DHNTB,T,0
,,,,0
Tỉnh Sóc Trăng,300.0,TNB,N,0
Tỉnh Long An,549.0,TNB,N,0
,,,,0
Tỉnh Hậu Giang,160.0,TNB,N,0
Thành phố Hồ Chí Minh,2389.0,DNB,N,0
Tỉnh Thanh Hóa,538.0,BTB,T,0
Thành phố Hồ Chí Minh,2389.0,DNB,N,0
Tỉnh Tiền Giang,641.0,TNB,N,0
Tỉnh Kiên Giang,508.0,TNB,N,0
,,,,0
,,,,0
Tỉnh Thừa Thiên Huế,199.0,BTB,T,0
Tỉnh Kiên Giang,508.0,TNB,N,0
Thành phố Hà Nội,667.0,DBSH,B,0
Tỉnh Quảng Nam,375.0,DHNTB,T,0
Tỉnh Đồng Nai,1033.0,DNB,N,0
Tỉnh Long An,549.0,TNB,N,0
Thành phố Hồ Chí Minh,2389.0,DNB,N,0
Tỉnh An Giang,608.0,TNB,N,0
Tỉnh An Giang,608.0,TNB,N,0
,,,,0
Tỉnh Kiên Giang,508.0,TNB,N,0
Tỉnh Thanh Hóa,538.0,BTB,T,0
Tỉnh Long An,549.0,TNB,N,0
Thành phố Hồ Chí Minh,2389.0,DNB,N,0
Thành phố Hồ Chí Minh,2389.0,DNB,N,0
,,,,0
Tỉnh Trà Vinh,283.0,TNB,N,0
Tỉnh Tiền Giang,641.0,TNB,N,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
Thành phố Hồ Chí Minh,2389.0,DNB,N,0
Thành phố Hồ Chí Minh,2389.0,DNB,N,0
Tỉnh Lâm Đồng,126.0,TN,T,0
Thành phố Hồ Chí Minh,2389.0,DNB,N,0
Tỉnh Thanh Hóa,538.0,BTB,T,0
,,,,0
Tỉnh Quảng Trị,96.0,BTB,T,0
Tỉnh Đồng Tháp,358.0,TNB,N,0
,,,,0
Tỉnh Thanh Hóa,538.0,BTB,T,0
Tỉnh Thái Nguyên,142.0,DBB,B,0
Tỉnh Thanh Hóa,538.0,BTB,T,0
,,,,0
,,,,0
Tỉnh An Giang,608.0,TNB,N,0
Tỉnh Bà Rịa - Vũng Tàu,306.0,DNB,N,0
Tỉnh Đồng Nai,1033.0,DNB,N,0
Tỉnh Kiên Giang,508.0,TNB,N,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
Tỉnh An Giang,608.0,TNB,N,0
,,,,0
,,,,0
Tỉnh Trà Vinh,283.0,TNB,N,0
Tỉnh Bình Dương,807.0,DNB,N,0
Tỉnh Thanh Hóa,538.0,BTB,T,0
Tỉnh Nam Định,148.0,DBSH,B,0
Tỉnh Đồng Tháp,358.0,TNB,N,0
Tỉnh Đồng Nai,1033.0,DNB,N,0
,,,,0
,,,,0
Tỉnh Khánh Hòa,308.0,DHNTB,T,0
Tỉnh Đồng Tháp,358.0,TNB,N,0
,,,,0
Tỉnh Sóc Trăng,300.0,TNB,N,0
Tỉnh Bà Rịa - Vũng Tàu,306.0,DNB,N,0
Tỉnh Tiền Giang,641.0,TNB,N,0
,,,,0
Tỉnh Bình Dương,807.0,DNB,N,0
Tỉnh Tiền Giang,641.0,TNB,N,0
Tỉnh An Giang,608.0,TNB,N,0
,,,,0
Tỉnh Quảng Bình,102.0,BTB,T,0
Tỉnh Bình Dương,807.0,DNB,N,0
Tỉnh Nghệ An,414.0,BTB,T,0
,,,,0
,,,,0
,,,,0
,,,,0
Thành phố Hồ Chí Minh,2389.0,DNB,N,0
,,,,0
,,,,0
Tỉnh Bắc Ninh,130.0,DBSH,B,0
Tỉnh Tuyên Quang,83.0,DBB,B,0
Tỉnh Long An,549.0,TNB,N,0
Tỉnh Khánh Hòa,308.0,DHNTB,T,0
,,,,0
Thành phố Hồ Chí Minh,2389.0,DNB,N,0
Tỉnh Phú Thọ,158.0,DBB,B,0
,,,,0
,,,,0
,,,,0
Tỉnh Vĩnh Phúc,105.0,DBSH,B,0
,,,,0
Tỉnh Bình Dương,807.0,DNB,N,0
,,,,0
Tỉnh Kiên Giang,508.0,TNB,N,0
,,,,0
Tỉnh Bắc Giang,212.0,DBB,B,0
Tỉnh An Giang,608.0,TNB,N,0
Tỉnh Kiên Giang,508.0,TNB,N,0
,,,,0
Thành phố Hồ Chí Minh,2389.0,DNB,N,0
,,,,0
,,,,0
Thành phố Hồ Chí Minh,2389.0,DNB,N,0
,,,,0
Tỉnh Bắc Giang,212.0,DBB,B,0
Tỉnh Nghệ An,414.0,BTB,T,0
Tỉnh Tiền Giang,641.0,TNB,N,0
Tỉnh Bình Dương,807.0,DNB,N,0
Tỉnh Đồng Nai,1033.0,DNB,N,0
,,,,0
,,,,0
Tỉnh Trà Vinh,283.0,TNB,N,0
,,,,0
,,,,0
Thành phố Hà Nội,667.0,DBSH,B,0
Tỉnh Bình Dương,807.0,DNB,N,0
,,,,0
,,,,0
,,,,0
,,,,0
Thành phố Cần Thơ,192.0,TNB,N,0
,,,,0
Tỉnh Bà Rịa - Vũng Tàu,306.0,DNB,N,0
Tỉnh Khánh Hòa,308.0,DHNTB,T,0
Tỉnh Bến Tre,333.0,TNB,N,0
Thành phố Hà Nội,667.0,DBSH,B,0
,,,,0
Tỉnh Bà Rịa - Vũng Tàu,306.0,DNB,N,0
,,,,0
Tỉnh Bến Tre,333.0,TNB,N,0
,,,,0
Tỉnh Tuyên Quang,83.0,DBB,B,0
,,,,0
Thành phố Đà Nẵng,228.0,DHNTB,T,0
,,,,0
Tỉnh Bắc Giang,212.0,DBB,B,0
Thành phố Hồ Chí Minh,2389.0,DNB,N,0
Tỉnh Tây Ninh,330.0,DNB,N,0
,,,,0
,,,,0
Tỉnh Đồng Nai,1033.0,DNB,N,0
Tỉnh Bình Phước,177.0,DNB,N,0
,,,,0
Tỉnh Hà Nam,107.0,DBSH,B,0
Tỉnh Đồng Nai,1033.0,DNB,N,0
Tỉnh Long An,549.0,TNB,N,0
,,,,0
Tỉnh Thái Nguyên,142.0,DBB,B,0
Tỉnh Tây Ninh,330.0,DNB,N,0
Tỉnh Bắc Kạn,38.0,DBB,B,0
Tỉnh An Giang,608.0,TNB,N,0
Tỉnh Nghệ An,414.0,BTB,T,0
Thành phố Hà Nội,667.0,DBSH,B,0
Thành phố Hồ Chí Minh,2389.0,DNB,N,0
Tỉnh Hà Tĩnh,162.0,BTB,T,0
Tỉnh Bình Thuận,287.0,DHNTB,T,0
Tỉnh Sóc Trăng,300.0,TNB,N,0
,,,,0
,,,,0
Tỉnh Kon Tum,34.0,TN,T,0
Tỉnh Yên Bái,72.0,TBB,B,0
Tỉnh Kiên Giang,508.0,TNB,N,0
,,,,0
,,,,0
Tỉnh Vĩnh Long,309.0,TNB,N,0
,,,,0
,,,,0
Tỉnh Bắc Ninh,130.0,DBSH,B,0
Tỉnh Phú Thọ,158.0,DBB,B,0
Tỉnh Thanh Hóa,538.0,BTB,T,0
Tỉnh Thừa Thiên Huế,199.0,BTB,T,0
Tỉnh Hoà Bình,79.0,TBB,B,0
,,,,0
,,,,0
Tỉnh Kiên Giang,508.0,TNB,N,0
Tỉnh Bình Thuận,287.0,DHNTB,T,0
,,,,0
Tỉnh Đồng Nai,1033.0,DNB,N,0
Tỉnh Sóc Trăng,300.0,TNB,N,0
,,,,0
,,,,0
Thành phố Hồ Chí Minh,2389.0,DNB,N,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
Tỉnh Phú Yên,160.0,DHNTB,T,0
,,,,0
Tỉnh Tiền Giang,641.0,TNB,N,0
,,,,0
Thành phố Đà Nẵng,228.0,DHNTB,T,0
,,,,0
,,,,0
Tỉnh Kiên Giang,508.0,TNB,N,0
Tỉnh Bến Tre,333.0,TNB,N,0
Tỉnh Quảng Trị,96.0,BTB,T,0
Tỉnh Quảng Ngãi,184.0,DHNTB,T,0
Tỉnh Đồng Nai,1033.0,DNB,N,0
,,,,0
Tỉnh Bến Tre,333.0,TNB,N,0
Thành phố Hồ Chí Minh,2389.0,DNB,N,0
,,,,0
,,,,0
Tỉnh Bắc Giang,212.0,DBB,B,0
Tỉnh Bình Dương,807.0,DNB,N,0
Tỉnh Nghệ An,414.0,BTB,T,0
Tỉnh An Giang,608.0,TNB,N,0
Tỉnh Bà Rịa - Vũng Tàu,306.0,DNB,N,0
Tỉnh Thanh Hóa,538.0,BTB,T,0
Thành phố Đà Nẵng,228.0,DHNTB,T,0
Tỉnh Đồng Nai,1033.0,DNB,N,0
,,,,0
,,,,0
Tỉnh Nghệ An,414.0,BTB,T,0
,,,,0
Tỉnh Bình Định,312.0,DHNTB,T,0
Thành phố Cần Thơ,192.0,TNB,N,0
Tỉnh Bắc Giang,212.0,DBB,B,0
Tỉnh Đồng Tháp,358.0,TNB,N,0
Tỉnh Bình Thuận,287.0,DHNTB,T,0
Tỉnh Cà Mau,294.0,TNB,N,0
Tỉnh Bạc Liêu,238.0,TNB,N,0
,,,,0
,,,,0
Tỉnh Nghệ An,414.0,BTB,T,0
,,,,0
,,,,0
Tỉnh Tuyên Quang,83.0,DBB,B,0
Tỉnh Đồng Nai,1033.0,DNB,N,0
Tỉnh Vĩnh Phúc,105.0,DBSH,B,0
Tỉnh Đồng Tháp,358.0,TNB,N,0
Tỉnh Nghệ An,414.0,BTB,T,0
Tỉnh Đồng Nai,1033.0,DNB,N,0
Tỉnh Tiền Giang,641.0,TNB,N,0
,,,,0
Tỉnh Nghệ An,414.0,BTB,T,0
Thành phố Hồ Chí Minh,2389.0,DNB,N,0
Tỉnh Long An,549.0,TNB,N,0
Thành phố Hồ Chí Minh,2389.0,DNB,N,0
,,,,0
Thành phố Hà Nội,667.0,DBSH,B,0
Tỉnh Đắk Nông,58.0,TN,T,0
,,,,0
,,,,0
Tỉnh Quảng Nam,375.0,DHNTB,T,0
Tỉnh Kiên Giang,508.0,TNB,N,0
Tỉnh Nam Định,148.0,DBSH,B,0
,,,,0
Tỉnh Ninh Bình,128.0,DBSH,B,0
,,,,0
,,,,0
Tỉnh Quảng Ngãi,184.0,DHNTB,T,0
Tỉnh Cao Bằng,46.0,DBB,B,0
Tỉnh Bình Dương,807.0,DNB,N,0
,,,,0
Thành phố Hà Nội,667.0,DBSH,B,1
Thành phố Cần Thơ,192.0,TNB,N,0
,,,,0
Thành phố Hồ Chí Minh,2389.0,DNB,N,0
Thành phố Hồ Chí Minh,2389.0,DNB,N,0
,,,,0
,,,,0
,,,,0
Thành phố Hà Nội,667.0,DBSH,B,0
,,,,0
,,,,0
,,,,0
Tỉnh Nam Định,148.0,DBSH,B,0
,,,,0
,,,,0
Tỉnh Nam Định,148.0,DBSH,B,0
Tỉnh Tiền Giang,641.0,TNB,N,0
Tỉnh Ninh Bình,128.0,DBSH,B,0
Tỉnh Bến Tre,333.0,TNB,N,0
Tỉnh Tiền Giang,641.0,TNB,N,0
,,,,0
,,,,0
Tỉnh Bình Định,312.0,DHNTB,T,0
Tỉnh Tuyên Quang,83.0,DBB,B,0
Tỉnh An Giang,608.0,TNB,N,0
Tỉnh An Giang,608.0,TNB,N,0
,,,,0
,,,,0
,,,,0
Thành phố Hồ Chí Minh,2389.0,DNB,N,0
Tỉnh Tiền Giang,641.0,TNB,N,0
Tỉnh Ninh Bình,128.0,DBSH,B,0
Tỉnh Bình Thuận,287.0,DHNTB,T,0
Thành phố Hồ Chí Minh,2389.0,DNB,N,0
Tỉnh Phú Yên,160.0,DHNTB,T,0
Tỉnh Đắk Lắk,289.0,TN,T,0
,,,,0
Tỉnh Quảng Nam,375.0,DHNTB,T,0
Tỉnh Bà Rịa - Vũng Tàu,306.0,DNB,N,0
Tỉnh Phú Yên,160.0,DHNTB,T,0
Thành phố Cần Thơ,192.0,TNB,N,0
Tỉnh Kiên Giang,508.0,TNB,N,0
,,,,0
,,,,0
,,,,0
Thành phố Hải Phòng,252.0,DBSH,B,0
,,,,0
,,,,0
,,,,0
,,,,0
Thành phố Đà Nẵng,228.0,DHNTB,T,0
Thành phố Cần Thơ,192.0,TNB,N,0
,,,,0
,,,,0
,,,,0
Tỉnh Thanh Hóa,538.0,BTB,T,0
,,,,0
Thành phố Hồ Chí Minh,2389.0,DNB,N,0
Tỉnh Kiên Giang,508.0,TNB,N,0
,,,,0
Tỉnh Vĩnh Long,309.0,TNB,N,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
Thành phố Hồ Chí Minh,2389.0,DNB,N,0
Tỉnh Tiền Giang,641.0,TNB,N,0
Tỉnh Quảng Bình,102.0,BTB,T,0
Tỉnh Thái Bình,141.0,DBSH,B,0
Tỉnh Vĩnh Long,309.0,TNB,N,0
Thành phố Hà Nội,667.0,DBSH,B,0
Tỉnh Quảng Bình,102.0,BTB,T,0
Tỉnh Bình Thuận,287.0,DHNTB,T,0
,,,,0
,,,,0
,,,,0
,,,,0
Tỉnh Bình Định,312.0,DHNTB,T,0
Tỉnh Sóc Trăng,300.0,TNB,N,0
,,,,0
Thành phố Hồ Chí Minh,2389.0,DNB,N,0
,,,,0
Tỉnh Bình Dương,807.0,DNB,N,0
Tỉnh Tiền Giang,641.0,TNB,N,0
Thành phố Hồ Chí Minh,2389.0,DNB,N,0
,,,,0
Thành phố Hồ Chí Minh,2389.0,DNB,N,0
Tỉnh Bình Dương,807.0,DNB,N,0
Tỉnh Đồng Nai,1033.0,DNB,N,0
,,,,1
,,,,0
Tỉnh Long An,549.0,TNB,N,0
Tỉnh Khánh Hòa,308.0,DHNTB,T,0
Tỉnh Phú Thọ,158.0,DBB,B,0
Tỉnh Thái Bình,141.0,DBSH,B,0
,,,,0
,,,,0
Tỉnh Đồng Nai,1033.0,DNB,N,0
